"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
1334,"Coloană vertebrală","Coloană","Suspiciune de spondilodiscită infecţioasă","I","Biopsie disco-vertebrală","Doar cu aviz specializat","C","Biopsia disco-vertebrală trebuie realizată în faţa oricărei suspiciuni de spondilodiscită (cu excepţia situaţiei în care hemoculturile sunt pozitive) după bilanţul imagistic (RM, CT) şi înaintea oricărui tratament antibiotic.","RI - PC6",2,3
1335,"Coloană vertebrală","Coloană","Tasare vertebrală malignă dureroasă","I","Vertebroplastie percutană","Doar cu aviz specializat","B","Această metodă paleiativă se aplică pacienţilor cu durere rebelă la tratamentul obişnuite. Decizia de vertebroplastie va fi luată în echipă mixtă, după bilanţul morfologic complet (RM, CT, scintigrafie osoasă) efectuat pentru evaluarea fezabilităţii acestei tehnici.","RI - PC5",3,3
1336,"Coloană vertebrală","Coloană","Tasare vertebrală osteoporotică dureroasă","I","Vertebroplastie percutană","Doar cu aviz specializat","B","Această metodă terapeutică se aplică pacienţilor cu durere rebelă la tratamentul obişnuit. Decizia de vertebroplastie trebuie luată în echipă mixtă, după bilanţul morfologic complet (RM, CT, scintigrafie osoasă) efectuat pentru a demonstra caracterul mecanic al tasării. Există o alternativă la această procedura (cifoplastia cu balonaş gonflabil).","RI - PC5",3,3
1337,"Coloană vertebrală","Coloană","Tumori hipervascularizate spinale","I","Embolizare","Doar cu aviz specializat","C","Embolizarea preoperatorie poate reduce în siguranta si eficient pierderile de sânge în timpul interventiei chirurgicale. ","RI - PA7",3,4
1338,"Coloană vertebrală","Coloană","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1339,"Coloană vertebrală","Coloană cervicală","Cervicalgie","G","Radiografie standard","Doar în cazuri particulare","B","În caz de prim puseu, tratamentul simptomatic poate fi efectuat înaintea investigaţiilor imagistice. Bilanţul radiologic este indicat doar în cazul rezistenţei la un tratament medical corect efectuat, în cazul agravării clinice, dacă durerea şi rigiditatea sunt brusc intense, daca se urmareste initierea unor manipulari sau infiltratii. Persistenţa cervicalgiei cu aceleaşi caractere nu justifică repetarea radiografiei.",,1,1
1340,"Coloană vertebrală","Coloană cervicală","Cervicalgie","M","IRM","Doar în cazuri particulare","B","Indicate in caz de agravare clinica sau suspiciune clinica a unui substrat tumoral, inflamator, infectios sau traumatism recent.",,0,0
1341,"Coloană vertebrală","Coloană cervicală","Cervicalgie","T","CT","Doar în cazuri particulare","B","Indicate in caz de agravare clinica sau suspiciune clinica a unui substrat tumoral, inflamator, infectios sau traumatism recent.",,2,2
1342,"Coloană vertebrală","Coloană cervicală","Cervicalgii comune","G","Radiografie","Doar în cazuri particulare","B","În cazul primului puseu dureros, tratamentul poate fi instituit, fara efectuarea prealabilă a radiografiei. Un bilanț radiografic se impune cand tratamentul nu este eficient, simptomatologia se agravează sau durerea crește în intensitate. ",,1,1
1343,"Coloană vertebrală","Coloană cervicală","Cervicalgii comune","M","IRM","Doar în cazuri particulare","B","Examinarile IRM si CT se justifică în caz de agravare a stării clinice sau dăcă există un context sugestiv pentru o patologie inflamatorie, tumorală, infecțioasă sau traumatism recent.",,0,0
1344,"Coloană vertebrală","Coloană cervicală","Cervicalgii comune","T","CT","Doar în cazuri particulare","B","Examinarile IRM și CT se justifică în caz de agravare a stării clinice sau dacă există un context sugestiv pentru o patologie inflamatorie, tumorală, infecțioasa sau traumatism recent.",,1,2
1345,"Coloană vertebrală","Coloană cervicală","Nevralgie cervico-brahială","T","CT","Doar în cazuri particulare","B","În caz de evoluţie defavorabilă sau de indicaţie pentru un act invaziv (intervenţie percutană sau chirurgicală), este indicata efectuarea de examene complementare. Acestea sunt fie IRM, fie CT in functie de disponibilitati. In caz de discordanta clinico-imagistica se poate indica mieloCT.",,2,2
1346,"Coloană vertebrală","Coloană cervicală","Nevralgie cervico-brahială","M","IRM","Doar cu aviz specializat","B","În caz de evoluţie defavorabilă sau de indicaţie pentru un act invaziv (intervenţie percutană sau chirurgicală), este indicata efectuarea de examene complementare. Acestea sunt fie IRM, fie CT in functie de disponibilitati. In caz de discordanta clinico-imagistica se poate indica mieloCT.",,0,0
1347,"Coloană vertebrală","Coloană cervicală","Nevralgie cervico-brahială","G","Radiografie standard","Neindicat în primă intenție","B","Tratamentul nevralgiei cervico-brahiale, cu substrat herniar sau artrozic, este în primă intenţie medical.",,1,1
1348,"Coloană vertebrală","Coloană cervicală","Posibilitate de subluxaţie atlanto-axoidiană","G","Radiografie standard","Indicat","C","Chiar dacă radiografia de profil în flexie rămâne incidenţa principală, este indicat realizarea unui bilanţ radiografic complet pentru a depista cadrul subluxaţiilor C1-C2. IRM-ul poate arata o suferinţă medulară, în cazul în care examenul radiografic este pozitiv sau în prezenţa semnelor neurologice.",,1,1
1349,"Coloană vertebrală","Coloană cervicală","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1350,"Coloană vertebrală","Coloană lombară","Durere lombară cronică fără semne de infecţie sau tumoră: lombalgie comună","M","IRM","Doar în cazuri particulare","C","Indicaţia unui CT, IRM sau scintigrafii osoase trebuie să rămână excepţională, în funcţie de contextul clinic. Aceste examene trebuie sa fie precedate de un bilanţ radiologic standard. Nu este cazul să se recomande mielografie sau mieloCT. Nu este indicată realizarea de noi examene în anul următor investigării, cu excepţia situaţiei în care simptomele evoluează sau pentru a se asigura de absenţa contraindicaţiilor pentru instituirea unui nou tratament.",,0,0
1351,"Coloană vertebrală","Coloană lombară","Durere lombară cronică fără semne de infecţie sau tumoră: lombalgie comună","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Doar în cazuri particulare","C","Indicaţia unui CT, IRM sau scintigrafii osoase trebuie să rămână rezervata, în funcţie de contextul clinic. Aceste examene trebuie sa fie precedate de un examen radiologic standard. Nu este indicată efectuarea de noi examene în anul următor investigării prin scintigrafie, cu excepţia situaţiei în care simptomele evoluează sau pentru a stabili absenţa contraindicaţiilor pentru instituirea unui nou tratament.",,2,3
1352,"Coloană vertebrală","Coloană lombară","Durere lombară cronică fără semne de infecţie sau tumoră: lombalgie comună","T","CT","Doar în cazuri particulare","C","Indicaţia unui CT, IRM sau scintigrafii osoase trebuie să rămână excepţională, în funcţie de contextul clinic. Aceste examene trebuie sa fie precedate de un bilanţ radiologic standard. Nu este cazul să se recomande mielografie sau mieloCT. Nu este indicată realizarea de noi examene în anul următor investigării, cu excepţia situaţiei în care simptomele evoluează sau pentru a se asigura de absenţa contraindicaţiilor pentru instituirea unui nou tratament.",,2,3
1353,"Coloană vertebrală","Coloană lombară","Durere lombară cronică fără semne de infecţie sau tumoră: lombalgie comună","G","Radiografie standard","Neindicat","C","Modificările degenerative sunt frecvente şi nespecifice. Dacă se efectuează o explorare sunt recomandate radiografiile de coloană lombară, incluzând joncţiunea toraco-lombară şi articulaţiile sacroiliace. Celelalte incidenţe (exemplu: sacro-iliace, joncţiune toracolombară) nu sunt justificate decât dacă există o suspiciune clinică de spondilartropatie. De obicei, nu e necesară efectuarea altor examene radiologice şi nici repetarea acestora în absenţa evoluţiei clinice (acord profesional). Radiografia prezintă interes mai ales la pacienţii tineri (sub 20 ani) pentru a  exclude spondilolistezis, spondilartrită anchilozantă, etc sau în vârstă (peste 55 ani).",,2,2
1354,"Coloană vertebrală","Coloană lombară","Lombalgie acuta; Lombo-radiculalgie mecanica","G","Radiografie","Doar în cazuri particulare","C","Lombalgiile acute sunt generate de afecțiuni care nu pot fii diagnosticate în general prin radiografie (excepție face tasarea de cauză osteoporotică).",,2,2
1355,"Coloană vertebrală","Coloană lombară","Lombalgie acuta; Lombo-radiculalgie mecanica","M","IRM coloana lombara","Neindicat în primă intenție","B","În cazul în care tratamentul medical eșuează , punerea în evidență auni etiologii mecanice ( hernie de disc , artrita) necesită o scanare IRM sau CT . IRM-ul este o metoda neiradiantă , mai sensibilă. IRM sau CT este necesar înainte de orice intervețtie chirurgicală. Recidivele dureroase postoperatorii necesită IRM.",,0,0
1356,"Coloană vertebrală","Coloană lombară","Lombalgie acuta; Lombo-radiculalgie mecanica","T","CT coloana lombara","Neindicat în primă intenție","B","În cazul în care tratamentul medical eșuează , punerea în evidență a unei etiologii mecanice ( hernie de disc , artrită) necesită o scanare IRM sau CT . IRM-ul este o metodă neiradiantă , mai sensibilă. IRM sau CT este necesar înainte de orice intervenție chirurgicală. Recidivele dureroase postoperatorii necesită IRM.",,2,3
1357,"Coloană vertebrală","Coloană lombară","Lombalgie acută: lombalgie radiculară mecanică","G","Radiografie standard","Doar în cazuri particulare","C","Durerile lombare acute sunt în general determinate de o patologie care nu poate fi diagnosticată pe o radiografie simplă (excepţie face tasarea osteoporotică). O radiografie simplă normală poate fi fals liniştitoare. În afara investigării unei lombalgii simptomatice sau urgente (v. la situațiile clinice respective), nu este cazul să se solicite un examen imagistic în primele săptămâni de evoluţie, cu excepţia situaţiei în care modalităţile de tratament (ex: mobilizare, infiltraţii) cer eliminarea unei lombalgii de cauze specifice.",,2,2
1358,"Coloană vertebrală","Coloană lombară","Lombalgie acută: lombalgie radiculară mecanică","M","IRM","Neindicat în primă intenție","B","În caz de eşec al tratamentului medical, evidenţierea unei hernii discale sau a unui alt factor compresiv, necesită efectuarea unui examen IRM sau CT. IRM-ul este preferabil deoarece nu este iradiant, are un câmp de vizualizare mai mare şi permite evidenţierea spaţiului subarahnoidian. IRM-ul sau CT-ul sunt necesare înaintea tuturor intervenţiilor chirurgicale sau radioghidate (injecţie epidurală de exemplu). Recidivele dureroase postoperatorii sunt de domeniul specialiştilor şi necesită în general un examen IRM.",,0,0
1359,"Coloană vertebrală","Coloană lombară","Lombalgie acută: lombalgie radiculară mecanică","T","CT","Neindicat în primă intenție","B","În caz de eşec al tratamentului medical, evidenţierea unei hernii discale sau a unui alt factor compresiv, necesită efectuarea unui examen IRM sau CT. IRM-ul este preferabil deoarece nu este iradiant, are un câmp de vizualizare mai mare şi permite evidenţierea spaţiului subarahnoidian. IRM-ul sau CT-ul sunt necesare înaintea tuturor intervenţiilor chirurgicale sau radioghidate (injecţie epidurală de exemplu). Recidivele dureroase postoperatorii sunt de domeniul specialiştilor şi necesită în general un examen IRM.",,2,2
1360,"Coloană vertebrală","Coloană lombară","Lombalgie cronica fara semne de infectie sau tumora","N","PET-CT (F18-FDG)","Doar în cazuri particulare","B","In caz de lombalgie cronica examenele IRM, CT, Scintigrafie si PET-CT trebuie precedate de examen clinic si radiografie.",,4,4
1361,"Coloană vertebrală","Coloană lombară","Lombalgie cronica fara semne de infectie sau tumora","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar în cazuri particulare","C","In caz de lombalgie cronica examenele IRM, CT, Scintigrafie si PET-CT trebuie precedate de examen clinic si radiografie.",,2,2
1362,"Coloană vertebrală","Coloană lombară","Lombalgie cronică fara semne de infecție sau tumoră","M","IRM coloana lombara","Doar în cazuri particulare","C","In caz de lombalgie cronică examenele IRM, CT, Scintigrafie si PET trebuie precedate de examen clinic și radiografie. In cazul unei boli profesionale sunt indicate (CT si IRM) pentru evidențierea unei eventuale hernii discale. ",,0,0
1363,"Coloană vertebrală","Coloană lombară","Lombalgie cronică fara semne de infecție sau tumoră","T","CT coloana lombara","Doar în cazuri particulare","C","În caz de lombalgie cronică examenele IRM, CT, Scintigrafie și PET trebuie precedate de examen clinic si radiografie. În cazul unei boli profesionale sunt indicate (CT și IRM) pentru evidențierea unei eventuale hernii discale.",,2,3
1364,"Coloană vertebrală","Coloană lombară","Lombalgie cronică fara semne de infecție sau tumoră","G","Radiografie","Neindicat în primă intenție","C","Radiografiile sunt in principal recomandate la pacienții tineri atunci cand se caută spondilolisteză, spondilită anchilozantă sau la pacienții de peste 55 de ani.",,2,2
1365,"Coloană vertebrală","Coloană lombară","Lombalgie in context particular sau insotita de semne de gravitate: debut <20 ani sau >55ani, sindrom de coada de cal, deficit senzitiv sau motor al membrelor inferioare, antecedente neoplazice, HIV, consum de droguri, corticoterapice sau antiinflamatorii","M","IRM coloana lombara","Indicat","B","IRM-ul este examenul cel mai sensibil.",,0,0
1366,"Coloană vertebrală","Coloană lombară","Lombalgie in context particular sau insotita de semne de gravitate: debut <20 ani sau >55ani, sindrom de coada de cal, deficit senzitiv sau motor al membrelor inferioare, antecedente neoplazice, HIV, consum de droguri, corticoterapice sau antiinflamatorii","N","PET-CT (F18-FDG sau F18-NaF)","Indicat","B","PET-CT e indicat in caz suspiciune de infectii osoase sau dureri post interventii chirurgicale.",,4,4
1367,"Coloană vertebrală","Coloană lombară","Lombalgie in context particular sau insotita de semne de gravitate: debut <20 ani sau >55ani, sindrom de coada de cal, deficit senzitiv sau motor al membrelor inferioare, antecedente neoplazice, HIV, consum de droguri, corticoterapice sau antiinflamatorii","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Indicat","B","Scintigrafia poate fii utilizata in vederea detectarii unor afectari osoase sau cand o infectie osoasa e suspectata. PET-CT cu F18-NaF e examenul preferat scintigrafiei datorita rezolutiei superioare.",,2,2
1368,"Coloană vertebrală","Coloană lombară","Lombalgie într-un context particular sau eventual însoţită de semne de gravitate ca şi: – debut sub 20 ani sau peste 55 – sdr. de coadă de cal – deficit senzitiv sau motor la nivelul membrelor inferioare – antecedente de cancer – HIV – scădere în greutate – folosirea de droguri cu administrare i.v. – corticoterapie – dureri de tip inflamator (vezi și capitolul Pediatrie)","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Indicat","B","Dupa aviz specializat, investigaţiile imagistice trebuie efectuate in urgenta. Examinarile radiologice simple cu aspect normal pot fi fals negative. IRM-ul reprezinta în general examenul cel mai eficient. Scintigrafia osoasă este de asemenea folosită pentru detectarea eventualelor leziuni osoase, în cazul durerilor cronice sau al suspiciunii de infecţie.  (v. si capitolul Pediatrie)",,3,4
1369,"Coloană vertebrală","Coloană lombară","Lombalgie într-un context particular sau eventual însoţită de semne de gravitate ca şi: – debut sub 20 ani sau peste 55 – sdr. de coadă de cal – deficit senzitiv sau motor la nivelul membrelor inferioare – antecedente de cancer – VIH – scădere în greutate – folosirea de droguri cu administrare i.v. – corticoterapie – dureri de tip inflamator (vezi și capitolul Pediatrie)","M","IRM","Indicat","B","Dupa aviz specializat, investigaţiile imagistice trebuie efectuate in urgenta . Clişeele simple cu aspect normal pot fi fals liniştitoare. IRM-ul este în general examenul cel mai eficace. Scintigrafia osoasă este de asemenea folosită pe scală largă pentru detectarea eventualelor leziuni osoase, în cazul durerilor cronice sau al suspiciunii de infecţie.  (v. si capitolul Pediatrie)",,0,0
1370,"Coloană vertebrală","Coloană lombară","Sacro-ileita","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar cu aviz specializat","B","Permite evaluarea întregului schelet; indicata uneori cand exista contraindicatii pentru examinarea IRM.",,3,3
1371,"Coloană vertebrală","Coloană lombară","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1372,"Coloană vertebrală","Coloană toracală","Dorsalgia comuna","G","Radiografia coloanei toracale","Doar în cazuri particulare","B","In timp, modificarile degenerative osoase sunt inevitabile, de aceea în absența semnelor unei patologii tumorale sau a unei etiologii infecțioase, radiografia coloanei vertebrale toracale este rareori utilă. Pentru pacienții mai în vârsta examinarea radiografică poate fi utilizata  în cazuri de urgență, cand apare durere intensă ce poate fi consecutivă unei tasari vertebrale pe fond osteoporotic sau pe fondul unei patologii tumorale osoase.",,1,1
1373,"Coloană vertebrală","Coloană toracală","Dorsalgia comuna","M","IRM ","Doar în cazuri particulare","B","Examinare indicată în cazul durerilor persistente sau rezistente la tratament, sau în cazul apariției unor semne de mielopatie.",,0,0
1374,"Coloană vertebrală","Coloană toracală","Dorsalgia comuna","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar în cazuri particulare","B","Examinare indicata pentru detectarea unor posibile metastaze osoase.",,2,2
1375,"Coloană vertebrală","Coloană toracală","Toracalgie","G","Radiografie standard","Doar în cazuri particulare","B","Începând de la 50 de ani, fenomenele degenerative sunt inevitabile. În absenţa semnelor neurologice sau a celor în favoarea metastazelor sau infecţiilor, radiografia toracică este rareori utilă. Pentru pacienţii mai în vârstă, se recomanda in urgenta, deoarece durerile instalate subit pot fi consecutive unei leziuni osoase (tasare osteoporotică sau afectare malignă).",,1,1
1376,"Coloană vertebrală","Coloană toracală","Toracalgie","M","IRM","Doar în cazuri particulare","B","Scintigrafia osoasă este utilă pentru detectarea unor eventuale leziuni metastatice. IRM-ul poate fi indicat în cazul în care durerea locală persistă, este rezistentă la tratament sau în prezenţa semnelor care sugerează o mielopatie.",,0,0
1377,"Coloană vertebrală","Coloană toracală","Toracalgie","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Doar în cazuri particulare","B","Scintigrafia osoasă este utilă pentru detectarea unor eventuale leziuni metastatice. IRM-ul poate fi indicat în cazul în care durerea locală persistă, este rezistentă la tratament sau în prezenţa semnelor care sugerează o mielopatie.",,2,3
1378,"Coloană vertebrală","Coloană toracală","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1379,"Coloană vertebrală","Sacru","Sacro-ileita","G","Radiografia","Indicat","B","Articulatiile sacro-iliace sunt examinate pe o singura incidență radiografică, cu inclinație specială. ",,1,2
1380,"Coloană vertebrală","Sacru","Sacro-ileita","M","IRM","Doar în cazuri particulare","B","Permite diagnosticarea sacro-ileitei. Sunt stabilite criterii de diagnostic și stadializare IRM ale spondilitei anchilozante.",,0,0
1381,"Coloană vertebrală","Sacru","Sacro-ileita","T","CT","Doar cu aviz specializat","B","Permite stabilirea modificărilor de structură osoasă.",,2,3
1382,"Coloană vertebrală","Sacru","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1383,"Aparat locomotor","Diverse","Afecţiune sinovială de natură nedeterminată","I","Biopsie sinovială percutană","Doar cu aviz specializat","C","O biopsie sinovială poate fi indicată în caz de incertitudine persistentă după bilanţul biologic şi imagistic (mai ales RM). Alegerea între biopsia percutană şi cea artroscopică va fi efectuată după discuţia cu clinicienii.","RI - PC6",3,4
1384,"Aparat locomotor","Diverse","Artropatie inflamatorie – bilant initial","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar cu aviz specializat","B","Scintigrafia osoasa permite un bilant al modificarilor inflamatorii si al enteziopatiilor, respectiv distributia acestora la nivelul întregului corp.",,2,2
1385,"Aparat locomotor","Diverse","Artropatie inflamatorie – bilanț inițial","E","Ecografie","Doar în cazuri particulare","B","Ecografia  Doppler poate confirma modificările de sinovită acută și poate aprecia caracterul inflamator . Privind suspiciunea de PR , studiu ecografic  ar trebui să vizeze cel puțin articulația radio-carpiană și articulațiile MCP si MTP.",,0,0
1386,"Aparat locomotor","Diverse","Artropatie inflamatorie – bilanț inițial","G","Radiografie","Doar cu aviz specializat","C","Determinarea etiologiei caracterului inflamator - eroziuni osoase, plaje de osteoscleroza.Pentru pacienții cu suspiciune de artrită reumatoida este indicată o radiografie antepicior ( față si 3/4) pentru a detecta eroziunile osoase.
Radiografiile de bazin și coloană vertebrală toraco-lombara sunt indicate  în cazul în care istoricul pacientului este de dureri toraco-lombare inflamatorii specifice pentru incadrarea in SPA. Aspectul normal al radiografiilor 
nu exclude diagnosticul de SPA.

",,1,2
1387,"Aparat locomotor","Diverse","Artropatie inflamatorie – bilanț inițial","M","IRM","Doar cu aviz specializat","B","Permite stabilirea diagnosticului de  sinovită acută , chiar și la nivelul articulațiilor la care examenul ecografic nu este suficient. Permite analiza cartilajului articular, al eroziunilor osoase incipiente, respectiv al edemului osos.",,0,0
1388,"Aparat locomotor","Diverse","Artropatie inflamatorie – bilanț inițial","T","CT","Doar cu aviz specializat","B","Detectarea eroziunilor osoase și a microcalcificărilor.",,1,2
1389,"Aparat locomotor","Diverse","Artropatie inflamatorie – monitorizare","G","Radiografia","Doar în cazuri particulare","C","Poate fi indicată în cazul modificarii simptomatologiei sau pentru introducerea de noi scheme terapeutice in cazul artritei reumatoide. Radiografii ale mâinilor si picioarelor, ale radio-carpului sau ale altor articulații sunt indicate la fiecare 6 luni în primul an, apoi cel puțin anual pentru 3 până la 5 ani .
",,1,1
1390,"Aparat locomotor","Diverse","Artropatie inflamatorie – monitorizare","E","Ecografia","Doar cu aviz specializat","B","Ecografia Doppler este indicată pentru a evalua activitatea modificărilor inflamatorii și răspunsul acestora la tratament.",,0,0
1391,"Aparat locomotor","Diverse","Artropatie inflamatorie – monitorizare","M","IRM","Doar cu aviz specializat","B","IRM (evaluarea sinovitei, edemului osos ) poate fi indicat pentru a evalua activitatea modificărilor inflamatorii și raspunsul terapeutic al leziunilor inflamatorii.",,0,0
1392,"Aparat locomotor","Diverse","Dureri articulare sau periarticulare","I","Embolizare","Doar cu aviz specializat","?","Embolizarea pediculilor arteriali ce alimenteaza zonele de hiperemie si blush vascular reprezinta o procedura experimentala cu rezultate foarte promitatoare in privinta controlului durerii si a sigurantei terapeutice","RI - PB7",2,2
1393,"Aparat locomotor","Diverse","Dureri articulare sau periarticulare","I","Infiltraţii intraarticulare ghidate imagistic","Doar cu aviz specializat","C","Infiltraţiile cortizonice în artropatii sau bursopatii, ghidate imagistic (radiografie, CT sau ecografie) reprezintă o alternativă terapeutică ce trebuie discutată cu clinicienii, la fel ca şi infiltraţiile test cu anestezic local sau injecţiile intraarticulare cu derivaţi de acid hialuronic.","RI - PC7",2,2
1394,"Aparat locomotor","Diverse","Fasceita plantara","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar în cazuri particulare","B","Indicata in cazul în care suspiciunea clinica nu este de  durere tipica pentru fasceita plantara. Stabilirea unui bilant  al enteziopatiilor in cadrul unei  spondiloartrite.",,2,2
1395,"Aparat locomotor","Diverse","Fasceita plantară","E","Ecografie ","Indicat","C","Examinarea ecografică este adesea suficientă pentru diagnosticul fasceitei plantare , deși nu este necesară ca primă intenție  în cazul în care tabloul clinic este tipic pentru fasceita plantar post stress mecanic. În cazul în care aspectul este tipic pentru sindromul Ledderhose, examenul ecografic este suficient pentru stabilirea diagnosticului .",,0,0
1396,"Aparat locomotor","Diverse","Fasceita plantară","M","IRM","Doar în cazuri particulare","B","Examinarea IRM poate fi indicată în cazul unui examen ecografic neconcludent sau în cazul suspiciunii clinice de fibromatoză plantară, faceita post artrită inflamatorie , fractură de stress calcaneu.",,0,0
1397,"Aparat locomotor","Diverse","Fasceita plantară","G","Radiografie","Neindicat în primă intenție","B","În cazul în care tabloul clinic este tipic de fasceita plantara post stress mecanic, în special determinata de osteofitoză, radiografiile nu sunt indicate ca prima examinare. Sunt necesare, în cazul unei evoluții clinice anormale sau atipice . Radiografiile pun in evidență osteofitele calcaneene și posibile fracturi de stres calcaneene.",,1,1
1398,"Aparat locomotor","Diverse","Formatiune tumorala de parti moi – bilant de extensie","N","PET-CT (F18-FDG)","Doar cu aviz specializat","B","Util in stadializare, raspuns la tratament si detectarea recidivelor. Ghidarea planului de radioterapie. Stabilirea locului de biopsie",,4,4
1399,"Aparat locomotor","Diverse","Formatiune tumorala de parti moi – bilant de extensie","T","CT","Doar cu aviz specializat","B","CT toracic pentru diagnosticul metastazelor pulmonare.",,2,3
1400,"Aparat locomotor","Diverse","Formatiune tumorala de parti moi – bilant diagnostic","I","Biopsie","Doar cu aviz specializat","B","Trebuie efectuata in toate cazurile dupa o intalnire pluridisciplinara, in centre specializate. Poate fii chirurgicala sau ghidata imagistic.","RI - PC6",0,0
1401,"Aparat locomotor","Diverse","Formatiune tumorala osoasa primitiva – bilant de extensie","N","PET-CT (F18-FDG)","Indicat","B","Bilant de extensie ganglionara, parti moi, os in cazul sarcoamelor osoase. Indicat in caz de sarcom Ewing. Ghidarea planului de radioterapie",,4,4
1402,"Aparat locomotor","Diverse","Formatiune tumorala osoasa primitiva – bilant de extensie","T","CT","Indicat","B","CT toracic pentru diagnosticul metastazelor pulmonare.",,2,3
1403,"Aparat locomotor","Diverse","Formatiune tumorala osoasa primitiva – bilant de extensie","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar în cazuri particulare","B","Depistarea metastazelor osoase la distant cu punct de plecare osteosarcom. Recomandata pentru bilantul unui sarcom Ewing.",,2,2
1404,"Aparat locomotor","Diverse","Formatiune tumorala osoasa primitiva – bilant diagnostic","I","Biopsie","Doar cu aviz specializat","B","Examen IRM inainte de biopsie. Se realizeaza sub ghidaj ecografic, CT, radioscopic sau chirurgical.","RI - PC6",0,0
1405,"Aparat locomotor","Diverse","Formațiune tumorală de părți moi – bilanț diagnostic","E","Ecografie","Indicat","B","Confirmă diagnosticul, determină natura solidă sau lichidă a leziunii , localizarea anatomică si studierea vascularizației. In caz de incertitudine se recomandă IRM.",,0,0
1406,"Aparat locomotor","Diverse","Formațiune tumorală de părți moi – bilanț diagnostic","G","Radiografie","Indicat","B","Evidențiaza calcificarile și afectarea osoasă.",,1,2
1407,"Aparat locomotor","Diverse","Formațiune tumorală de părți moi – bilanț diagnostic","M","IRM","Indicat","B","Examinare de referință, indicată în toate cazurile. Apreciază cel mai bine extensia locala.",,0,0
1408,"Aparat locomotor","Diverse","Formațiune tumorală de părți moi – bilanț diagnostic","I","Biopsie","Doar cu aviz specializat","B","Trebuie efectuată în toate cazurile dupa o intâlnire pluridisciplinară, în centre specializate. Poate fii chirurgicală sau ghidată imagistic.",,0,0
1409,"Aparat locomotor","Diverse","Formațiune tumorală de părți moi – bilanț diagnostic","T","CT","Doar cu aviz specializat","B","Caracterizare a calcificarilor și ân caz de afectare osoasă.",,2,3
1410,"Aparat locomotor","Diverse","Formațiune tumorală osoasă primitivă – bilanț diagnostic","G","Radiografie","Indicat","B","Indispensabilă in diagnosticul tumorilor osoase. Evidentiază matricea tumorală, osteogeneza și caracterele osteolizei.",,1,2
1411,"Aparat locomotor","Diverse","Formațiune tumorală osoasă primitivă – bilanț diagnostic","M","IRM","Indicat","B","Indicat în caz de suspiciune de malignitate, inaintea biopsiei osoase. Excelent in bilanțul extensiei locale.",,0,0
1412,"Aparat locomotor","Diverse","Formațiune tumorală osoasă primitivă – bilanț diagnostic","T","CT","Indicat","B","Evidentiază matricea tumorală, osteogeneza și caracterele osteolizei - mai sensibil decât radiografia.",,2,3
1413,"Aparat locomotor","Diverse","Formațiune tumorală osoasă primitivă – bilanț diagnostic","E","Ecografie","Doar în cazuri particulare","C","Indicații restranse.",,0,0
1414,"Aparat locomotor","Diverse","Formațiune tumorală osoasă primitivă – bilanț diagnostic","I","Biopsie","Doar cu aviz specializat","B","Examen IRM inainte de biopsie. Se realizează sub ghidaj ecografic, CT, radioscopic sau chirurgical.",,0,0
